맥체인 성경읽기표,,,,,
월,일,내용,,,
5월,1,민수기8,시편44,아가6,히브리서6
,2,민수기9,시편45,아가7,히브리서7
,3,민수기10,"시편46,47",아가8,히브리서8
,4,민수기11,시편48,이사야1,히브리서9
,5,"민수기12,13",시편49,이사야2,히브리서10
,6,민수기14,시편50,"이사야3,4",히브리서11
,7,민수기15,시편51,이사야5,히브리서12
,8,민수기16,"시편52,53,54",이사야6,히브리서13
,9,"민수기17,18",시편55,이사야7,야고보1
,10,민수기19,"시편56,57",이사야8,야고보2
,11,민수기20,"시편58,59",이사야9,야고보3
,12,민수기21,"시편60,61",이사야10,야고보4
,13,민수기22,"시편62,63","이사야11,12",야고보5
,14,민수기23,"시편64,65",이사야13,베드로전서1
,15,민수기24,"시편66,67",이사야14,베드로전서2
,16,민수기25,시편68,이사야15,베드로전서3
,17,민수기26,시편69,이사야16,베드로전서4
,18,민수기27,"시편70,71","이사야17,18",베드로전서5
,19,민수기28,시편72,"이사야19,20",베드로후서1
,20,민수기29,시편73,이사야21,베드로후서2
,21,민수기30,시편74,이사야22,베드로후서3
,22,민수기31,"시편75,76",이사야23,요한일서1
,23,민수기32,시편77,이사야24,요한일서2
,24,민수기33,시편78,이사야25,요한일서3
,25,민수기34,,이사야26,요한일서4
,26,민수기35,시편79,이사야27,요한일서5
,27,민수기36,시편80,이사야28,요한이서1
,28,신명기1,"시편81,82",이사야29,요한삼서1
,29,신명기2,"시편83,84",이사야30,유다서1
,30,신명기3,시편85,이사야31,요한계시록1
,31,신명기4,"시편86,87",이사야32,요한계시록2
6월,1,신명기5,시편88,이사야33,요한계시록3
,2,신명기6,시편89,이사야34,요한계시록4
,3,신명기7,시편90,이사야35,요한계시록5
,4,신명기8,시편91,이사야36,요한계시록6
,5,신명기9,"시편92,93",이사야37,요한계시록7
,6,신명기10,시편94,이사야38,요한계시록8
,7,신명기11,"시편95,96",이사야39,요한계시록9
,8,신명기12,"시편97,98",이사야40,요한계시록10
,9,"신명기13,14","시편99,100,101",이사야41,요한계시록11
,10,신명기15,시편102,이사야42,요한계시록12
,11,신명기16,시편103,이사야43,요한계시록13
,12,신명기17,시편104,이사야44,요한계시록14
,13,신명기18,시편105,이사야45,요한계시록15
,14,신명기19,시편106,이사야46,요한계시록16
,15,신명기20,시편107,이사야47,요한계시록17
,16,신명기21,"시편108,109",이사야48,요한계시록18
,17,신명기22,"시편110,111",이사야49,요한계시록19
,18,신명기23,"시편112,113",이사야50,요한계시록20
,19,신명기24,"시편114,115",이사야51,요한계시록21
,20,신명기25,시편116,이사야52,요한계시록22
,21,신명기26,"시편117,118",이사야53,마태복음1
,22,신명기27,시편119,이사야54,마태복음2
,23,신명기28,,이사야55,마태복음3
,24,신명기29,,이사야56,마태복음4
,25,신명기30,,이사야57,마태복음5
,26,신명기31,,이사야58,마태복음6
,27,신명기32,,이사야59,마태복음7
,28,"신명기33,34",,이사야60,마태복음8
,29,여호수아1,시편120-122,이사야61,마태복음9
,30,여호수아2,시편123-125,이사야62,마태복음10
7월,1,여호수아3,"시편126,127,128",이사야63,마태복음11
,2,여호수아4,"시편129,130,131",이사야64,마태복음12
,3,여호수아5,"시편132133,134",이사야65,마태복음13
,4,여호수아6,"시편135,136",이사야66,마태복음14
,5,여호수아7,"시편137,138",예레미야1,마태복음15
,6,여호수아8,시편139,예레미야2,마태복음16
,7,여호수아9,"시편140,141",예레미야3,마태복음17
,8,여호수아10,"시편142,143",예레미야4,마태복음18
,9,여호수아11,시편144,예레미야5,마태복음19
,10,"여호수아12,13",시편145,예레미야6,마태복음20
,11,"여호수아14,15","시편146,147",예레미야7,마태복음21
,12,"여호수아16,17",시편148,예레미야8,마태복음22
,13,"여호수아18,19","시편149,150",예레미야9,마태복음23
,14,"여호수아20,21",사도행전1,예레미야10,마태복음24
,15,여호수아22,사도행전2,예레미야11,마태복음25
,16,여호수아23,사도행전3,예레미야12,마태복음26
,17,여호수아24,사도행전4,예레미야13,마태복음27
,18,사사기1,사도행전5,예레미야14,마태복음28
,19,사사기2,사도행전6,예레미야15,마가복음1
,20,사사기3,사도행전7,예레미야16,마가복음2
,21,사사기4,사도행전8,예레미야17,마가복음3
,22,사사기5,사도행전9,예레미야18,마가복음4
,23,사사기6,사도행전10,예레미야19,마가복음5
,24,사사기7,사도행전11,예레미야20,마가복음6
,25,사사기8,사도행전12,예레미야21,마가복음7
,26,사사기9,사도행전13,예레미야22,마가복음8
,27,사사기10,사도행전14,예레미야23,마가복음9
,28,사사기11,사도행전15,예레미야24,마가복음10
,29,사사기12,사도행전16,예레미야25,마가복음11
,30,사사기13,사도행전17,예레미야26,마가복음12
,31,사사기14,사도행전18,예레미야27,마가복음13
8월,1,사사기15,사도행전19,예레미야 28,마가복음14
,2,사사기16,사도행전20,예레미야 29,마가복음15
,3,사사기17,사도행전21,"예레미야 30,31",마가복음16
,4,사사기18,사도행전22,예레미야 32,"시편1,2"
,5,사사기19,사도행전23,예레미야 33,"시편3,4"
,6,사사기20,사도행전24,예레미야 34,"시편5,6"
,7,사사기21,사도행전25,예레미야 35,"시편7,8"
,8,룻기1,사도행전26,"예레미야 36,37",시편9
,9,룻기2,사도행전27,예레미야 38,시편10
,10,"룻기3,4",사도행전28,예레미야 39,"시편11,12"
,11,사무엘상1,로마서1,예레미야 40,"시편13,14"
,12,사무엘상2,로마서2,예레미야 41,"시편15,16"
,13,사무엘상3,로마서3,예레미야 42,시편17
,14,사무엘상4,로마서4,예레미야 43,시편18
,15,"사무엘상5,6",로마서5,예레미야 44,시편19
,16,"사무엘상7,8",로마서6,예레미야 45,"시편20,21"
,17,사무엘상9,로마서7,예레미야 46,시편22
,18,사무엘상10,로마서8,예레미야 47,"시편23,24"
,19,사무엘상11,로마서9,예레미야 48,시편25
,20,사무엘상12,로마서10,예레미야 49,"시편26,27"
,21,사무엘상13,로마서11,예레미야 50,"시편28,29"
,22,사무엘상14,로마서12,예레미야 51,시편30
,23,사무엘상15,로마서13,예레미야 52,시편31
,24,사무엘상16,로마서14,예레미야애가1,시편32
,25,사무엘상17,로마서15,예레미야애가2,시편33
,26,사무엘상18,로마서16,예레미야애가3,시편34
,27,사무엘상19,고린도전서1,예레미야애가4,시편35
,28,사무엘상20,고린도전서2,예레미야애가5,시편36
,29,"사무엘상21,22",고린도전서3,에스겔1,시편37
,30,사무엘상23,고린도전서4,에스겔2,시편38
,31,사무엘상24,고린도전서5,에스겔3,시편39
9월,1,사무엘상25,고린도전서6,에스겔4,"시편40,41"
,2,사무엘상26,고린도전서7,에스겔5,"시편42,43"
